,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
0,Anytime,Tu Bui,1 review,FR,Great!!,3 days ago,"Hi, Thank you for your feedback 🎉We are glad to see you're satisfied with our services 😁See you soon, Barbara - Anytime",2 days ago,5,Invited,"Great!!Great!!! You are very nice team!!Date of experience: November 14, 2023"
1,Anytime,HOLLY JENNINGS,2 reviews,FR,The staff at Anytime Bank resolved a…,"Sep 3, 2023","Hi Holly, Thank you so much for your kind words! We're delighted to hear that our team was able to resolve the fraud issue promptly for you. Providing quick and effective solutions is always our top priority. If you ever need assistance in the future, please don't hesitate to reach out. We're here to help!Sincerely, Barbara - Anytime","Sep 4, 2023",5,Invited,"The staff at Anytime Bank resolved a…The staff at Anytime Bank resolved a problem of fraud very quickly. I appreciate their quick response.Date of experience: September 01, 2023"
2,Anytime,CRISTALINA RUSU,1 review,FR,Increase the relevance of your review…,"Mar 16, 2023","Bonjour 😁, Merci d'avoir pris le temps de partager votre expérience avec nos services ! A très vite, Margaux - Anytime 🫶","Mar 20, 2023",5,Invited,"Increase the relevance of your review…Increase the relevance of your review by addressing your overall experience, including the level of customer service you received. Tell people how helpful the company was! Focusing on only one element, such as product quality or delivery options, provides limited insight to readers.Date of experience: March 15, 2023"
3,Anytime,RENAUD COTTET,1 review,FR,Traitement documents ok,"Oct 31, 2023","Bonjour 😁, Merci beaucoup d'avoir pris le temps de partager votre expérience avec nos services ! A très vite, Margaux - Anytime 🫶","Nov 2, 2023",5,Invited,"Traitement documents okRecoit et traite docs ok merciDate of experience: October 31, 2023"
4,Anytime,PIETRO RUSSO,1 review,FR,Excellent efficace,"Apr 13, 2023","Bonjour 😁, Merci pour votre super avis positif ! A très vite, Margaux - Anytime 🫶","Apr 17, 2023",5,Invited,"Excellent efficaceTres satisfait de l echange et de la resolution du probleme. MerciDate of experience: April 12, 2023"
5,Anytime,PAUL VIDRASCU,2 reviews,FR,Ca a repondu a tt mes question,"Oct 1, 2023","Bonjour Paul, Un tout grand merci pour ce retour d'expérience ! Nous essayons d'être toujours plus performants et rapides dans le traitement de votre dossier 💪🏻Belle journée, Barbara - Anytime","Oct 2, 2023",5,Invited,"Ca a repondu a tt mes questionDate of experience: October 01, 2023"
6,Anytime,SAYED ALI khan,1 review,FR,This is a Fraud Bank .,"Dec 13, 2022","Hi Sayed, We are sorry for your negative experience with Anytime. We regret that our services do not meet your needs.We confirm that we have closed your account in accordance with your request.We certainly cannot erase what happened, but we take these kinds of cases very seriously. Therefore our aim is to make sure that something like this won't happen anymore.We wish you all the best for the future.Thank you for your understanding. Kind regards, Barbara - Anytime","Jan 3, 2023",1,Invited,"This is a Fraud Bank .This is ridiculous service ,  i have opened my business account with anytym , used it for more than 1 year , and suddenly they suspended my account for no reason at all . Also they have kept my 5000 euro blocked in that account .I have sent them msg to contact me and to solve my problem , Its been , 3 month , they are telling me only to wait . This can not be a professional service . I doubt , they try to steal money ,in disguise of blocking Account . I already let Banque de France , about this matter . So i strictly , request people , not to open account in this Anytym Bank .Date of experience: December 12, 2022"
7,Anytime,Celeste Schenck,1 review,FR,The worst bank I have ever worked with,"Aug 25, 2023","Hi, Thank you for your feedback, although it is negative. We are deeply sorry for the inconvenience. Unfortunately, your package does not give you access to our telephone line. This is why our internal messaging service is available to answer all your questions.If you wish to have access to our customer service on the phone, we invite you to subscribe to the EASY package. Here is a comparison of our rates: https://www.anyti.me/fr/tarifs/. We remain at your disposal,Barbara - Anytime","Aug 25, 2023",1,Invited,"The worst bank I have ever worked withThe worst bank I have ever worked with.  They are unreachable. They allow you to sign up for appointments and then they don’t honor them (3 in a row for us), don’t answer emails, don’t respond by telephone, don’t permit you to make transfers, and are blocking our nearly 8000 euros. This is not a business bank. It’s clearly a scam.Date of experience: August 25, 2023"
8,Anytime,Michael Wilbur,2 reviews,FR,Everything was great until you sign up,"Sep 4, 2023","Hi Michael, We appreciate your initial positive review and we're truly sorry to hear about your recent experiences with our services. We understand the importance of the work your association is doing to support those affected by rare diseases in Ukraine during these challenging times, and we apologize for any inconvenience you've encountered.Our goal is to provide a reliable and efficient banking experience, and it's disheartening to hear that we've fallen short of your expectations. We understand that you've encountered difficulties with international transfers outside the SEPA region. We acknowledge that this limitation can be frustrating, and we're actively exploring ways to expand our international transfer options to better serve our diverse customer base.We apologize for the inconvenience you've faced with the disabled cheque features. While cheques have become less common in today's digital banking landscape, we recognize that they still hold value in certain situations. We will review the possibility of reinstating this feature or providing an alternative solution.Thank you for bringing these issues to our attention, and we hope to have the opportunity to regain your trust in the future.Sincerely, Barbara - Anytime","Sep 4, 2023",1,Invited,"Everything was great until you sign upI initially gave a good review to anytime as they were great when we set up the account, which is for a new association. Our association raises money for people with rare diseases in Ukraine impacted by the war.  Now that it's time to send the money to the beneficiaries, we're told that you can only make transfers to SEPA countries with an IBAN number. Even countries outside of SEPA who have affiliated banks in the EU are no good because anytime won't let you make transfers using Swift anymore.  Since joining they have also completely disabled features to get or send cheques. (This may seem like not a big deal, until someone wants to make you a donation).  When you ask for help you get annoying AI generated responses inviting you to 'find another solution' but 'rest assured, you can still make a transfer via iban in SEPA.'  This account is very expensive for what it is. It's basically a scam. They understood where and how I wanted to send transfers when i set up the account and now there is literally nothing I can do except send the money to my personal account-so what's the point. Traditional French banks are slower and they don't like to open small association accounts so they will try to put you off, but honestly it's worth the hassle because this 'bank' really is not fit for purpose.Date of experience: September 01, 2023"
9,Anytime,ANTOINE STANKOVIC,1 review,FR,Bon travail,"Nov 29, 2022","Bonjour 😁, Merci d'avoir pris le temps de partager votre avis sur Anytime ! A très vite, Margaux - Anytime 🫶","Nov 30, 2022",5,Invited,"Bon travailDu bon travailDate of experience: November 28, 2022"
